株式会社青海青果　御請求書（2026年5月分）いつもお世話になっております。
請求日,品目,金額
2026/05/01,果物,"\112,100"
2026/05/04,野菜(葉物),"\137,800"
2026/05/06,野菜(葉物),"\111,500"
2026/05/07,野菜(葉物),"\212,000"
2026/05/08,果物,"\179,300"
2026/05/09,野菜(葉物),"\208,100"
2026/05/10,果物,"\105,300"
2026/05/12,青果セット,"\221,600"
2026/05/13,野菜(葉物),"\150,500"
2026/05/15,野菜(根菜),"\112,900"
2026/05/19,野菜(葉物),"\192,800"
2026/05/20,青果セット,"\146,300"
2026/05/23,野菜(葉物),"\233,000"
2026/05/25,青果セット,"\145,700"
2026/05/27,果物,"\223,500"
2026/05/28,果物,"\207,600"
合計,,"\2,700,000"
